productType,brand,yearOfManufacture,conditionId,warrantyPolicy,mileage,rangePerCharge,batteryCapacity,batteryType,chargeCycles,batteryLifespan,maxSpeed,color,chargeTime,compatibleVehicle,FINAL_SALE_PRICE
bike,Engwe,2023,1,Còn bảo hành chính hãng,900,100,16 Ah,Lithium-ion,90,,25.0,Đen,6 giờ,,14000000
car,BYD,2024,1,Còn bảo hành chính hãng,5000,420,60 kWh,LFP,50,,160,Trắng,7 giờ,,670000000
motorbike,Dat Bike,2023,1,Còn bảo hành chính hãng,4000,170,72 Ah,Lithium-ion,100,,100,Đen,3.5 giờ,,61000000
car,Nissan,2020,3,Hết bảo hành,75000,250,40 kWh,Lithium-ion,650,,150,Trắng,7.5 giờ,,430000000
battery,SK On,2023,1,Còn bảo hành chính hãng,,,90 kWh,NMC,60,8 tháng,,,9 giờ,Ford F-150 Lightning,190000000
car,Tesla,2022,2,Hết bảo hành,30000,490,100 kWh,NCA,250,,250,Đỏ,8-10 giờ,,1420000000
car,Vinfast,2023,2,Còn bảo hành chính hãng,19000,290,42 kWh,Lithium-ion,200,,170,Xanh,6 giờ,,450000000
bike,Himo,2022,3,Hết bảo hành,2500,50,10 Ah,Lithium-ion,200,,25.0,Trắng,5 giờ,,6000000
motorbike,Vinfast,2022,3,Hết bảo hành,22000,180,48 Ah,LFP,400,,90,Đen mờ,4 giờ,,42000000
car,Hyundai,2021,4,Hết bảo hành,85000,380,64 kWh,NMC,700,,170,Đỏ,6 giờ,,690000000
battery,Gotion High-Tech,2022,2,Hết bảo hành,,,40 kWh,LFP,250,20 tháng,,,6 giờ,Wuling Mini EV,55000000
car,BMW,2024,1,Còn bảo hành chính hãng,6000,520,105 kWh,NMC,60,,200,Trắng,10 giờ,,3800000000
motorbike,DKBike,2021,4,Hết bảo hành,18000,60,25 Ah,Lead Acid,750,,45.0,Xanh,8-10 giờ,,8000000
car,MG,2022,3,Hết bảo hành,40000,340,51 kWh,LFP,300,,160,Trắng,7 giờ,,410000000
car,Tesla,2019,4,Hết bảo hành,110000,420,90 kWh,NCA,800,,250,Xám,8-10 giờ,,950000000
bike,Giant,2022,3,Hết bảo hành,5500,70,13 Ah,Lithium-ion,300,,25.0,Vàng,5 giờ,,13000000
battery,Eve Energy,2023,2,Hết bảo hành,,,50 Ah,LFP,100,12 tháng,,,4 giờ,Xe máy điện (Chung),8000000
car,Vinfast,2023,2,Còn bảo hành chính hãng,25000,305.0,82 kWh,LFP,200,,175.0,Bạc,6-8 giờ,,790000000
motorbike,Yadea,2023,2,Còn bảo hành chính hãng,7000,90,38 Ah,LFP,200,,60,Đen,7-8 giờ,,21000000
car,Audi,2021,3,Hết bảo hành,42000,380,95 kWh,NMC,320,,200,Đen,9 giờ,,2200000000
car,Wuling,2023,3,Hết bảo hành,18000,160,27 kWh,LFP,150,,100,Xanh lá,8 giờ,,170000000
battery,Phylion,2022,3,Hết bảo hành,,,15 Ah,Lithium-ion,300,24 tháng,,,5 giờ,Xe đạp điện (Chung),2500000
car,Porsche,2022,2,Hết bảo hành,22000,430,93 kWh,NMC,180,,260,Xám,9 giờ,,4500000000
bike,Specialized,2023,1,Còn bảo hành chính hãng,1000,130,22 Ah,Lithium-ion,90,,25.0,Đỏ,6 giờ,,55000000
car,Mercedes,2024,1,Còn bảo hành chính hãng,4000,610,108 kWh,NMC,40,,210,Trắng,10 giờ,,3400000000
car,Kia,2023,1,Còn bảo hành chính hãng,16000,430,77 kWh,NMC,140,,185.0,Trắng,7 giờ,,1150000000
motorbike,Pega,2022,3,Hết bảo hành,13000,70,28 Ah,Lithium-ion,450,,50,Xanh,8-10 giờ,,13000000
car,Vinfast,2022,3,Hết bảo hành,60000,280,42 kWh,Lithium-ion,550,,170,Đen,6 giờ,,410000000
battery,CALB,2023,1,Còn bảo hành chính hãng,,,70 kWh,LFP,70,9 tháng,,,7 giờ,"Xe tải, bus điện",140000000
car,Tesla,2022,2,Còn bảo hành chính hãng,25000,480,100 kWh,NCA,220,,250,Bạc,8-10 giờ,,1480000000
bike,Trek,2023,2,Còn bảo hành chính hãng,1500,100,20 Ah,Lithium-ion,130,,25.0,Đen,6 giờ,,35000000
car,Hyundai,2023,2,Còn bảo hành chính hãng,19000,415.0,72 kWh,NMC,160,,180,Xám,7 giờ,,960000000
motorbike,Vinfast,2023,2,Còn bảo hành chính hãng,8000,190,48 Ah,LFP,150,,90,Trắng,4 giờ,,51000000
car,Nissan,2022,2,Hết bảo hành,32000,260,40 kWh,Lithium-ion,300,,150,Bạc,7.5 giờ,,490000000
battery,LG Chem,2021,4,Hết bảo hành,,,60 kWh,NMC,450,36 tháng,,,7 giờ,"Renault Zoe, Chevy Bolt",70000000
car,BYD,2023,2,Hết bảo hành,28000,400,60 kWh,LFP,220,,160,Xám,7 giờ,,590000000
car,Vinfast,2024,1,Còn bảo hành chính hãng,6000,310,82 kWh,LFP,60,,175.0,Xanh,6-8 giờ,,850000000
bike,Xiaomi,2024,1,Còn bảo hành chính hãng,300,45.0,12 Ah,Lithium-ion,40,,25.0,Trắng,4 giờ,,8500000
motorbike,Dibao,2023,2,Hết bảo hành,9000,70,28 Ah,Lead Acid,300,,50,Xám,8-10 giờ,,13000000
car,BMW,2021,3,Hết bảo hành,55000,480,105 kWh,NMC,400,,200,Đen,10 giờ,,2800000000
battery,Samsung SDI,2024,1,Còn bảo hành chính hãng,,,85 kWh,NMC,30,4 tháng,,,8 giờ,"Audi e-tron, BMW iX",180000000
car,Wuling,2024,1,Còn bảo hành chính hãng,4000,170,27 kWh,LFP,50,,100,Trắng,8 giờ,,205000000
car,Tesla,2021,3,Hết bảo hành,65000,460,100 kWh,NCA,450,,250,Xanh,8-10 giờ,,1280000000
motorbike,Dat Bike,2022,3,Hết bảo hành,12000,150,68 Ah,Lithium-ion,400,,90,Vàng,3 giờ,,48000000
bike,Asama,2023,2,Hết bảo hành,2000,50,10 Ah,Lithium-ion,150,,25.0,Bạc,6 giờ,,9000000
car,Vinfast,2023,1,Còn bảo hành chính hãng,14000,290,42 kWh,Lithium-ion,150,,170,Đỏ,6 giờ,,480000000
car,MG,2023,2,Hết bảo hành,30000,340,51 kWh,LFP,250,,160,Xanh,7 giờ,,430000000
battery,CATL,2021,3,Hết bảo hành,,,90 kWh,LFP,350,30 tháng,,,8 giờ,Tesla Model 3 (TQ),130000000
car,Mercedes,2022,2,Hết bảo hành,33000,580,108 kWh,NMC,280,,210,Đen,10 giờ,,2900000000
motorbike,Yadea,2022,3,Hết bảo hành,11000,80,32 Ah,LFP,500,,50,Vàng,7-8 giờ,,19500000
car,Hyundai,2022,3,Hết bảo hành,48000,400,72 kWh,NMC,420,,180,Đen,7 giờ,,880000000
car,Audi,2023,1,Còn bảo hành chính hãng,13000,410,95 kWh,NMC,120,,200,Trắng,9 giờ,,2800000000
bike,Ado,2024,1,Còn bảo hành chính hãng,500,60,10 Ah,Lithium-ion,50,,25.0,Đen,5 giờ,,11500000
battery,Vinfast,2022,2,Hết bảo hành,,,48 Ah,LFP,200,24 tháng,,,4 giờ,Vinfast Feliz S,11000000
car,Kia,2021,4,Hết bảo hành,75000,390,64 kWh,NMC,600,,170,Đỏ,6.5 giờ,,750000000
car,Vinfast,2022,2,Hết bảo hành,42000,300,82 kWh,LFP,350,,175.0,Trắng,6-8 giờ,,740000000
motorbike,Vinfast,2023,2,Còn bảo hành chính hãng,9000,190,48 Ah,LFP,160,,90,Xám,4 giờ,,50000000
car,Tesla,2020,3,Hết bảo hành,82000,440,90 kWh,NCA,650,,250,Đen,8-10 giờ,,1050000000
bike,Giant,2023,1,Còn bảo hành chính hãng,1100,75.0,14 Ah,Lithium-ion,100,,25.0,Xanh,5 giờ,,15000000
battery,BYD,2022,3,Hết bảo hành,,,60 kWh,LFP,300,26 tháng,,,7 giờ,BYD e6,85000000
car,Porsche,2021,3,Hết bảo hành,38000,420,93 kWh,NMC,300,,260,Trắng,9 giờ,,4100000000
car,Wuling,2023,3,Hết bảo hành,20000,160,27 kWh,LFP,180,,100,Hồng,8 giờ,,160000000
motorbike,Niu,2022,3,Hết bảo hành,14000,80,30 Ah,Lithium-ion,450,,60,Đỏ,5 giờ,,25000000
car,BMW,2023,2,Còn bảo hành chính hãng,18000,500,105 kWh,NMC,150,,200,Bạc,10 giờ,,3500000000
battery,SK On,2022,2,Hết bảo hành,,,80 kWh,NMC,220,22 tháng,,,9 giờ,VW ID.4,140000000
car,Vinfast,2023,2,Còn bảo hành chính hãng,20000,285.0,42 kWh,Lithium-ion,210,,170,Xám,6 giờ,,460000000
bike,Trek,2022,3,Hết bảo hành,4500,90,18 Ah,Lithium-ion,300,,25.0,Xanh,6 giờ,,30000000
car,BYD,2023,3,Hết bảo hành,35000,380,60 kWh,LFP,280,,160,Bạc,7 giờ,,550000000
motorbike,Pega,2023,2,Hết bảo hành,8000,70,28 Ah,Lithium-ion,300,,50,Trắng,8-10 giờ,,15000000
car,Mercedes,2023,1,Còn bảo hành chính hãng,10000,600,108 kWh,NMC,100,,210,Đen,10 giờ,,3200000000
battery,Gotion High-Tech,2023,1,Còn bảo hành chính hãng,,,50 kWh,LFP,80,10 tháng,,,6 giờ,Tata Tiago EV,70000000
car,Tesla,2023,1,Còn bảo hành chính hãng,11000,490,100 kWh,NCA,100,,250,Đỏ,8-10 giờ,,1550000000
car,Hyundai,2024,1,Còn bảo hành chính hãng,7000,430,72 kWh,NMC,70,,180,Bạc,7 giờ,,1050000000
bike,Engwe,2022,3,Hết bảo hành,3000,90,16 Ah,Lithium-ion,250,,25.0,Xám,6 giờ,,11000000
motorbike,Dat Bike,2021,4,Hết bảo hành,19000,140,68 Ah,Lithium-ion,500,,90,Xám,3 giờ,,41000000
car,Vinfast,2022,3,Hết bảo hành,58000,300,82 kWh,LFP,480,,175.0,Xám,6-8 giờ,,710000000
battery,LG Chem,2023,1,Còn bảo hành chính hãng,,,75 kWh,NMC,60,8 tháng,,,8 giờ,Chevy Bolt EV,150000000
car,Kia,2022,2,Hết bảo hành,40000,420,77 kWh,NMC,300,,185.0,Xanh,7 giờ,,1020000000
car,Wuling,2023,2,Còn bảo hành chính hãng,13000,170,27 kWh,LFP,120,,100,Nâu,8 giờ,,185000000
bike,Specialized,2021,4,Hết bảo hành,8000,110,20 Ah,Lithium-ion,500,,25.0,Bạc,6 giờ,,35000000
car,Audi,2022,2,Hết bảo hành,31000,400,95 kWh,NMC,260,,200,Xanh,9 giờ,,2450000000
motorbike,Vinfast,2024,1,Còn bảo hành chính hãng,2500,200,48 Ah,LFP,50,,90,Đen,4 giờ,,56000000
car,Tesla,2021,3,Hết bảo hành,60000,470,100 kWh,NCA,420,,250,Trắng,8-10 giờ,,1300000000
battery,Panasonic,2023,2,Hết bảo hành,,,80 kWh,NCA,150,15 tháng,,,8 giờ,Tesla Model 3/Y,140000000
car,Honda,2024,1,Còn bảo hành chính hãng,5000,380,68 kWh,NMC,50,,160,Đỏ,6 giờ,,790000000
car,Vinfast,2021,4,Hết bảo hành,95000,270,42 kWh,Lithium-ion,750,,170,Trắng,6 giờ,,360000000
bike,Himo,2023,2,Hết bảo hành,1800,50,10 Ah,Lithium-ion,150,,25.0,Xám,5 giờ,,7000000
motorbike,Gogoro,2022,3,Hết bảo hành,11000,90,40 Ah,Lithium-ion,350,,85.0,Xám,2.5 giờ,,32000000
car,MG,2022,4,Hết bảo hành,55000,330,51 kWh,LFP,400,,160,Bạc,7 giờ,,380000000
battery,CALB,2022,3,Hết bảo hành,,,80 kWh,LFP,280,25 tháng,,,7 giờ,Xe bus điện,115000000
car,BMW,2022,3,Hết bảo hành,43000,490,105 kWh,NMC,320,,200,Xám,10 giờ,,3000000000
car,Nissan,2021,3,Hết bảo hành,60000,250,40 kWh,Lithium-ion,500,,150,Đen,7.5 giờ,,45000000
motorbike,DKBike,2023,3,Hết bảo hành,7000,60,25 Ah,Lead Acid,400,,45.0,Đỏ,8-10 giờ,,9000000
car,Vinfast,2023,1,Còn bảo hành chính hãng,16000,305.0,82 kWh,LFP,140,,175.0,Trắng,6-8 giờ,,810000000
bike,Giant,2022,2,Hết bảo hành,3000,70,13 Ah,Lithium-ion,200,,25.0,Đen,5 giờ,,14000000
battery,Eve Energy,2024,1,Còn bảo hành chính hãng,,,60 Ah,LFP,30,3 tháng,,,4 giờ,Xe máy điện (Chung),10000000
car,Tesla,2022,2,Còn bảo hành chính hãng,28000,480,100 kWh,NCA,240,,250,Đen,8-10 giờ,,1460000000
car,Porsche,2023,2,Còn bảo hành chính hãng,9000,440,93 kWh,NMC,90,,260,Xanh,9 giờ,,4900000000
motorbike,Yadea,2023,1,Còn bảo hành chính hãng,4000,90,38 Ah,LFP,100,,60,Bạc,7-8 giờ,,23000000
car,Mercedes,2021,3,Hết bảo hành,50000,560,108 kWh,NMC,380,,210,Trắng,10 giờ,,2600000000
car,Hyundai,2023,2,Còn bảo hành chính hãng,24000,410,72 kWh,NMC,200,,180,Trắng,7 giờ,,940000000
battery,Lishen,2022,4,Hết bảo hành,,,18 Ah,LFP,400,30 tháng,,,3 giờ,Xe đạp điện,2000000
car,Vinfast,2022,3,Hết bảo hành,50000,280,42 kWh,Lithium-ion,500,,170,Xanh,6 giờ,,425000000
bike,Asama,2024,1,Còn bảo hành chính hãng,400,50,10 Ah,Lithium-ion,40,,25.0,Xanh,6 giờ,,10000000
car,Kia,2023,2,Hết bảo hành,30000,420,77 kWh,NMC,250,,185.0,Đen,7 giờ,,1060000000
motorbike,Niu,2024,1,Còn bảo hành chính hãng,1500,90,35 Ah,Lithium-ion,60,,70,Trắng,5 giờ,,34000000
car,BYD,2023,2,Còn bảo hành chính hãng,22000,410,60 kWh,LFP,180,,160,Đỏ,7 giờ,,610000000
battery,Phylion,2023,2,Hết bảo hành,,,20 Ah,Lithium-ion,150,14 tháng,,,5 giờ,Xe đạp điện (Chung),3000000
car,Tesla,2019,4,Hết bảo hành,120000,410,90 kWh,NCA,900,,250,Trắng,8-10 giờ,,900000000
car,Wuling,2023,3,Hết bảo hành,25000,160,27 kWh,LFP,200,,100,Xanh lá,8 giờ,,150000000
car,Vinfast,2023,2,Còn bảo hành chính hãng,22000,300,82 kWh,LFP,190,,175.0,Đỏ,6-8 giờ,,780000000
car,Audi,2020,4,Hết bảo hành,70000,350,95 kWh,NMC,500,,200,Đen,9 giờ,,1900000000
motorbike,Dat Bike,2024,1,Còn bảo hành chính hãng,1000,180,72 Ah,Lithium-ion,30,,100,Đen,3.5 giờ,,65000000
bike,Himo,2024,1,Còn bảo hành chính hãng,200,55.0,12 Ah,Lithium-ion,30,,25.0,Trắng,5 giờ,,8200000
battery,CATL,2022,2,Hết bảo hành,,,60 kWh,LFP,200,20 tháng,,,7 giờ,MG ZS EV,110000000
car,Mercedes,2023,2,Hết bảo hành,25000,590,108 kWh,NMC,200,,210,Xám,10 giờ,,3000000000
car,Hyundai,2021,3,Hết bảo hành,68000,390,64 kWh,NMC,550,,170,Xanh,6.5 giờ,,720000000
motorbike,Yadea,2024,1,Còn bảo hành chính hãng,1200,100,38 Ah,LFP,50,,60,Trắng,7-8 giờ,,25000000
car,Tesla,2022,3,Hết bảo hành,40000,480,100 kWh,NCA,300,,250,Đen,8-10 giờ,,1380000000
car,Vinfast,2023,2,Còn bảo hành chính hãng,18000,300,42 kWh,Lithium-ion,180,,170,Bạc,6 giờ,,470000000
bike,Engwe,2024,1,Còn bảo hành chính hãng,300,100,16 Ah,Lithium-ion,40,,25.0,Đen,6 giờ,,15500000
battery,LG Chem,2023,1,Còn bảo hành chính hãng,,,80 kWh,NMC,50,6 tháng,,,8 giờ,GM Hummer EV,170000000
car,BMW,2023,2,Còn bảo hành chính hãng,22000,510,105 kWh,NMC,180,,200,Trắng,10 giờ,,3400000000
car,Wuling,2023,3,Hết bảo hành,21000,170,27 kWh,LFP,160,,100,Vàng,8 giờ,,175000000
motorbike,Vinfast,2022,4,Hết bảo hành,30000,170,48 Ah,LFP,500,,90,Bạc,4 giờ,,39000000
car,BYD,2022,3,Hết bảo hành,45000,390,60 kWh,LFP,350,,160,Trắng,7 giờ,,520000000
battery,Samsung SDI,2023,2,Hết bảo hành,,,77 kWh,NMC,150,14 tháng,,,8 giờ,Rivian R1T,130000000
car,Kia,2024,1,Còn bảo hành chính hãng,8000,440,77 kWh,NMC,70,,185.0,Xám,7 giờ,,1200000000
car,Tesla,2020,4,Hết bảo hành,95000,430,90 kWh,NCA,750,,250,Bạc,8-10 giờ,,1000000000
bike,Ado,2023,3,Hết bảo hành,2200,60,10 Ah,Lithium-ion,180,,25.0,Xám,5 giờ,,9000000
car,Vinfast,2024,1,Còn bảo hành chính hãng,7000,310,82 kWh,LFP,70,,175.0,Đen,6-8 giờ,,840000000
car,MG,2023,3,Hết bảo hành,38000,340,51 kWh,LFP,300,,160,Đỏ,7 giờ,,400000000
motorbike,Niu,2023,2,Hết bảo hành,10000,85.0,32 Ah,Lithium-ion,300,,70,Đen,5 giờ,,28000000
car,Porsche,2022,3,Hết bảo hành,30000,430,93 kWh,NMC,250,,260,Xanh,9 giờ,,4300000000
battery,Panasonic,2024,1,Còn bảo hành chính hãng,,,82 kWh,NCA,20,3 tháng,,,8 giờ,Tesla Model Y (Mới),175000000
car,Mercedes,2022,3,Hết bảo hành,40000,570,108 kWh,NMC,300,,210,Bạc,10 giờ,,2800000000
car,Audi,2023,2,Hết bảo hành,19000,400,95 kWh,NMC,160,,200,Xám,9 giờ,,2700000000
bike,Specialized,2022,3,Hết bảo hành,5000,120,20 Ah,Lithium-ion,300,,25.0,Trắng,6 giờ,,42000000
motorbike,Pega,2021,4,Hết bảo hành,20000,60,25 Ah,Lead Acid,700,,45.0,Đen,8-10 giờ,,10500000
car,Vinfast,2023,2,Hết bảo hành,28000,280,42 kWh,Lithium-ion,280,,170,Vàng,6 giờ,,440000000
car,Hyundai,2023,1,Còn bảo hành chính hãng,10000,420,72 kWh,NMC,100,,180,Đen,7 giờ,,1000000000
battery,BYD,2023,2,Hết bảo hành,,,80 kWh,LFP,120,12 tháng,,,7 giờ,Xe bus điện (BYD),150000000
car,Tesla,2023,1,Còn bảo hành chính hãng,15000,490,100 kWh,NCA,130,,250,Trắng,8-10 giờ,,1520000000
car,Nissan,2023,1,Còn bảo hành chính hãng,9000,350,62 kWh,Lithium-ion,90,,160,Đỏ,8 giờ,,650000000
bike,Giant,2024,1,Còn bảo hành chính hãng,500,80,15 Ah,Lithium-ion,50,,25.0,Đen,5 giờ,,18000000
motorbike,Dibao,2024,1,Còn bảo hành chính hãng,2000,70,30 Ah,Lead Acid,60,,50,Trắng,8-10 giờ,,15000000
ar,BMW,2021,4,Hết bảo hành,70000,470,105 kWh,NMC,500,,200,Xanh,10 giờ,,2600000000
car,Vinfast,2022,3,Hết bảo hành,52000,300,82 kWh,LFP,420,,175.0,Bạc,6-8 giờ,,720000000
battery,SK On,2023,2,Hết bảo hành,,,98 kWh,NMC,100,10 tháng,,,9 giờ,Ford F-150 Lightning (LR),200000000
car,Wuling,2023,2,Hết bảo hành,15000,170,27 kWh,LFP,130,,100,Hồng,8 giờ,,180000000
car,Kia,2022,3,Hết bảo hành,50000,410,77 kWh,NMC,380,,185.0,Bạc,7 giờ,,980000000
motorbike,Yadea,2023,2,Hết bảo hành,10000,85.0,35 Ah,LFP,250,,60,Đen,7-8 giờ,,20000000
bike,Trek,2023,2,Còn bảo hành chính hãng,1800,90,18 Ah,Lithium-ion,150,,25.0,Bạc,6 giờ,,33000000
car,Tesla,2021,3,Hết bảo hành,72000,460,100 kWh,NCA,500,,250,Xám,8-10 giờ,,1250000000
car,Mercedes,2024,1,Còn bảo hành chính hãng,6000,600,108 kWh,NMC,60,,210,Trắng,10 giờ,,3350000000
battery,CATL,2023,1,Còn bảo hành chính hãng,,,100 kWh,LFP,40,5 tháng,,,8 giờ,Nhiều loại xe TQ,200000000
car,Vinfast,2023,2,Còn bảo hành chính hãng,23000,285.0,42 kWh,Lithium-ion,220,,170,Đen,6 giờ,,455000000
car,Hyundai,2022,4,Hết bảo hành,78000,400,72 kWh,NMC,600,,180,Đỏ,7 giờ,,850000000
motorbike,Dat Bike,2023,2,Hết bảo hành,9000,160,72 Ah,Lithium-ion,200,,100,Xám,3.5 giờ,,57000000
bike,Xiaomi,2023,3,Hết bảo hành,2000,45.0,12 Ah,Lithium-ion,180,,25.0,Trắng,4 giờ,,6500000
car,BYD,2023,2,Hết bảo hành,26000,400,60 kWh,LFP,200,,160,Xanh,7 giờ,,600000000
battery,LG Chem,2022,3,Hết bảo hành,,,64 kWh,NMC,350,30 tháng,,,7 giờ,Hyundai Kona EV,80000000
car,Audi,2022,3,Hết bảo hành,38000,390,95 kWh,NMC,300,,200,Bạc,9 giờ,,2350000000
car,Vinfast,2024,1,Còn bảo hành chính hãng,8000,305.0,82 kWh,LFP,80,,175.0,Đỏ,6-8 giờ,,830000000
motorbike,Gogoro,2023,1,Còn bảo hành chính hãng,3000,100,40 Ah,Lithium-ion,100,,85.0,Xanh,2.5 giờ,,40000000
car,Tesla,2022,2,Còn bảo hành chính hãng,32000,490,100 kWh,NCA,260,,250,Đỏ,8-10 giờ,,1440000000
bike,Asama,2023,2,Hết bảo hành,2500,50,10 Ah,Lithium-ion,180,,25.0,Trắng,6 giờ,,8500000
car,MG,2022,3,Hết bảo hành,48000,330,51 kWh,LFP,350,,160,Vàng,7 giờ,,390000000
battery,Samsung SDI,2022,3,Hết bảo hành,,,50 kWh,NMC,300,28 tháng,,,7 giờ,BMW i3 (Cũ),65000000
car,Porsche,2023,2,Hết bảo hành,15000,440,93 kWh,NMC,130,,260,Đen,9 giờ,,4700000000
car,Vinfast,2022,4,Hết bảo hành,65000,270,42 kWh,Lithium-ion,600,,170,Xám,6 giờ,,390000000
motorbike,Niu,2021,4,Hết bảo hành,18000,75.0,30 Ah,Lithium-ion,600,,60,Trắng,5 giờ,,22000000
car,BMW,2024,1,Còn bảo hành chính hãng,4000,520,105 kWh,NMC,50,,200,Đen,10 giờ,,3900000000
car,Wuling,2024,1,Còn bảo hành chính hãng,3000,170,27 kWh,LFP,40,,100,Xanh lá,8 giờ,,210000000
